"","cons_1","cons_2","cons_3","cons_4","cons_5","cons_6","cons_7","cons_8"
"avoided_emissions",5333.19055329624,257.834250400717,5740.57351518875,4818.42364149552,8877.84025343989,6203.22348246107,27517.5952832055,1647.40229414239
"investment",7764.67889496771,338.165368026096,8629.90741002439,7579.41650210556,13270.9120378096,8877.23943019389,66000.084402941,2539.59595393171
"payback",1.89358505542343,1.7058346782503,1.95523638940736,2.04587554033779,1.94420413584992,1.86104595362243,3.11948161327113,2.00481607402637
"self_consumption",100,100,100,100,100,99.9039250664448,100,99.9423896914002
"self_sufficiency",7.4637827026127,8.3300120736107,7.26098177851125,6.85978891660208,7.49024871627688,7.86494614848378,5.36477135454338,7.25448041512762
"yearly_surplus",0,0,0,0,0,109.715549496552,0,17.4697057557418
"yearly_profit",4100.51762540522,198.240411182728,4413.74120120593,3704.73000564548,6825.88406901428,4770.02699095893,21157.3884975499,1266.74760185423
