"month","day","hour","week","alloc_1","alloc_2"
1,1,0,TRUE,0,0
1,1,1,TRUE,0,0
1,1,2,TRUE,0,0
1,1,3,TRUE,0,0
1,1,4,TRUE,0,0
1,1,5,TRUE,0,0
1,1,6,TRUE,0,0
1,1,7,TRUE,0,0
1,1,8,TRUE,0.15074020605512,0.84925979394488
1,1,9,TRUE,0.378564930181946,0.621435069818054
1,1,10,TRUE,0.257515355432217,0.742484644567783
1,1,11,TRUE,0.290387670709699,0.709612329290301
1,1,12,TRUE,0.00712085488356058,0.992879145116439
1,1,13,TRUE,0.0171928650729543,0.982807134927046
1,1,14,TRUE,0.237156344620896,0.762843655379104
1,1,15,TRUE,0.0430895050013399,0.95691049499866
1,1,16,TRUE,0.383334444644348,0.616665555355652
1,1,17,TRUE,0.280155261511107,0.719844738488893
1,1,18,TRUE,0,0
1,1,19,TRUE,0,0
1,1,20,TRUE,0,0
1,1,21,TRUE,0,0
1,1,22,TRUE,0,0
1,1,23,TRUE,0,0
1,2,0,TRUE,0,0
1,2,1,TRUE,0,0
1,2,2,TRUE,0,0
1,2,3,TRUE,0,0
1,2,4,TRUE,0,0
1,2,5,TRUE,0,0
1,2,6,TRUE,0,0
1,2,7,TRUE,0,0
1,2,8,TRUE,0.15074020605512,0.84925979394488
1,2,9,TRUE,0.378564930181946,0.621435069818054
1,2,10,TRUE,0.257515355432217,0.742484644567783
1,2,11,TRUE,0.290387670709699,0.709612329290301
1,2,12,TRUE,0.00712085488356058,0.992879145116439
1,2,13,TRUE,0.0171928650729543,0.982807134927046
1,2,14,TRUE,0.237156344620896,0.762843655379104
1,2,15,TRUE,0.0430895050013399,0.95691049499866
1,2,16,TRUE,0.383334444644348,0.616665555355652
1,2,17,TRUE,0.280155261511107,0.719844738488893
1,2,18,TRUE,0,0
1,2,19,TRUE,0,0
1,2,20,TRUE,0,0
1,2,21,TRUE,0,0
1,2,22,TRUE,0,0
1,2,23,TRUE,0,0
1,3,0,TRUE,0,0
1,3,1,TRUE,0,0
1,3,2,TRUE,0,0
1,3,3,TRUE,0,0
1,3,4,TRUE,0,0
1,3,5,TRUE,0,0
1,3,6,TRUE,0,0
1,3,7,TRUE,0,0
1,3,8,TRUE,0.15074020605512,0.84925979394488
1,3,9,TRUE,0.378564930181946,0.621435069818054
1,3,10,TRUE,0.257515355432217,0.742484644567783
1,3,11,TRUE,0.290387670709699,0.709612329290301
1,3,12,TRUE,0.00712085488356058,0.992879145116439
1,3,13,TRUE,0.0171928650729543,0.982807134927046
1,3,14,TRUE,0.237156344620896,0.762843655379104
1,3,15,TRUE,0.0430895050013399,0.95691049499866
1,3,16,TRUE,0.383334444644348,0.616665555355652
1,3,17,TRUE,0.280155261511107,0.719844738488893
1,3,18,TRUE,0,0
1,3,19,TRUE,0,0
1,3,20,TRUE,0,0
1,3,21,TRUE,0,0
1,3,22,TRUE,0,0
1,3,23,TRUE,0,0
1,4,0,FALSE,0,0
1,4,1,FALSE,0,0
1,4,2,FALSE,0,0
1,4,3,FALSE,0,0
1,4,4,FALSE,0,0
1,4,5,FALSE,0,0
1,4,6,FALSE,0,0
1,4,7,FALSE,0,0
1,4,8,FALSE,0.819674135372385,0.180325864627615
1,4,9,FALSE,0.756756536172798,0.243243463827202
1,4,10,FALSE,0.0602628959536562,0.939737104046344
