"month","day","hour","week","alloc_1","alloc_2","alloc_3","alloc_4","alloc_5","alloc_6","alloc_7","alloc_8"
1,1,0,TRUE,0,0,0,0,0,0,0,0
1,1,1,TRUE,0,0,0,0,0,0,0,0
1,1,2,TRUE,0,0,0,0,0,0,0,0
1,1,3,TRUE,0,0,0,0,0,0,0,0
1,1,4,TRUE,0,0,0,0,0,0,0,0
1,1,5,TRUE,0,0,0,0,0,0,0,0
1,1,6,TRUE,0,0,0,0,0,0,0,0
1,1,7,TRUE,0,0,0,0,0,0,0,0
1,1,8,TRUE,0.0945339035207909,0.00203079451938345,0.0403370708094549,0.0560919942838386,0.125786336998098,0.077411586145323,0.544341964961423,0.0594663487616881
1,1,9,TRUE,0.0928912716689501,0.00219133396450365,0.0418155297892749,0.063684171589454,0.123667276185608,0.0768745141890854,0.544541890695083,0.0543340119180405
1,1,10,TRUE,0.0978968846169395,0.00203764446762064,0.0464862351596853,0.0585292145491046,0.121456417881078,0.0759615369040575,0.551108184039011,0.0465238823825036
1,1,11,TRUE,0.100453015583371,0.00220601714138278,0.054346746613039,0.0629954092196174,0.114749143418742,0.0824970423084977,0.538238463082554,0.0445141626327957
1,1,12,TRUE,0.091185250700911,0.00309786373971424,0.0613872381355977,0.0630025731804675,0.116847316475857,0.0807297817972998,0.543799382614324,0.0399505933558286
1,1,13,TRUE,0.088691999837683,0.00177416630479005,0.0821961638841931,0.0617549908267869,0.111912368501703,0.0746630418970271,0.542064142912298,0.0369431258355186
1,1,14,TRUE,0.0920899895370035,0.0019492370495407,0.0789494424471716,0.0704687514888219,0.105997325203603,0.0710308264968596,0.541714044810358,0.0378003829666416
1,1,15,TRUE,0.08197062610987,0.00383523051906884,0.0825160702237115,0.0608707156840379,0.1179946692116,0.0753610597877006,0.542786372422993,0.034665256041018
1,1,16,TRUE,0.0760579049683184,0.00373460852357566,0.0615381629475718,0.0522439412586955,0.121675665449475,0.0770706119234884,0.574187495701854,0.0334916092270219
1,1,17,TRUE,0.0659833360007586,0.00152902592166497,0.0557016262363215,0.0455688315777671,0.12310753003664,0.0726982527670809,0.592646421093071,0.0427649763666968
1,1,18,TRUE,0,0,0,0,0,0,0,0
1,1,19,TRUE,0,0,0,0,0,0,0,0
1,1,20,TRUE,0,0,0,0,0,0,0,0
1,1,21,TRUE,0,0,0,0,0,0,0,0
1,1,22,TRUE,0,0,0,0,0,0,0,0
1,1,23,TRUE,0,0,0,0,0,0,0,0
1,2,0,TRUE,0,0,0,0,0,0,0,0
1,2,1,TRUE,0,0,0,0,0,0,0,0
1,2,2,TRUE,0,0,0,0,0,0,0,0
1,2,3,TRUE,0,0,0,0,0,0,0,0
1,2,4,TRUE,0,0,0,0,0,0,0,0
1,2,5,TRUE,0,0,0,0,0,0,0,0
1,2,6,TRUE,0,0,0,0,0,0,0,0
1,2,7,TRUE,0,0,0,0,0,0,0,0
1,2,8,TRUE,0.0945339035207909,0.00203079451938345,0.0403370708094549,0.0560919942838386,0.125786336998098,0.077411586145323,0.544341964961423,0.0594663487616881
1,2,9,TRUE,0.0928912716689501,0.00219133396450365,0.0418155297892749,0.063684171589454,0.123667276185608,0.0768745141890854,0.544541890695083,0.0543340119180405
1,2,10,TRUE,0.0978968846169395,0.00203764446762064,0.0464862351596853,0.0585292145491046,0.121456417881078,0.0759615369040575,0.551108184039011,0.0465238823825036
1,2,11,TRUE,0.100453015583371,0.00220601714138278,0.054346746613039,0.0629954092196174,0.114749143418742,0.0824970423084977,0.538238463082554,0.0445141626327957
1,2,12,TRUE,0.091185250700911,0.00309786373971424,0.0613872381355977,0.0630025731804675,0.116847316475857,0.0807297817972998,0.543799382614324,0.0399505933558286
1,2,13,TRUE,0.088691999837683,0.00177416630479005,0.0821961638841931,0.0617549908267869,0.111912368501703,0.0746630418970271,0.542064142912298,0.0369431258355186
1,2,14,TRUE,0.0920899895370035,0.0019492370495407,0.0789494424471716,0.0704687514888219,0.105997325203603,0.0710308264968596,0.541714044810358,0.0378003829666416
1,2,15,TRUE,0.08197062610987,0.00383523051906884,0.0825160702237115,0.0608707156840379,0.1179946692116,0.0753610597877006,0.542786372422993,0.034665256041018
1,2,16,TRUE,0.0760579049683184,0.00373460852357566,0.0615381629475718,0.0522439412586955,0.121675665449475,0.0770706119234884,0.574187495701854,0.0334916092270219
1,2,17,TRUE,0.0659833360007586,0.00152902592166497,0.0557016262363215,0.0455688315777671,0.12310753003664,0.0726982527670809,0.592646421093071,0.0427649763666968
1,2,18,TRUE,0,0,0,0,0,0,0,0
1,2,19,TRUE,0,0,0,0,0,0,0,0
1,2,20,TRUE,0,0,0,0,0,0,0,0
1,2,21,TRUE,0,0,0,0,0,0,0,0
1,2,22,TRUE,0,0,0,0,0,0,0,0
1,2,23,TRUE,0,0,0,0,0,0,0,0
1,3,0,TRUE,0,0,0,0,0,0,0,0
1,3,1,TRUE,0,0,0,0,0,0,0,0
1,3,2,TRUE,0,0,0,0,0,0,0,0
1,3,3,TRUE,0,0,0,0,0,0,0,0
1,3,4,TRUE,0,0,0,0,0,0,0,0
1,3,5,TRUE,0,0,0,0,0,0,0,0
1,3,6,TRUE,0,0,0,0,0,0,0,0
1,3,7,TRUE,0,0,0,0,0,0,0,0
1,3,8,TRUE,0.0945339035207909,0.00203079451938345,0.0403370708094549,0.0560919942838386,0.125786336998098,0.077411586145323,0.544341964961423,0.0594663487616881
1,3,9,TRUE,0.0928912716689501,0.00219133396450365,0.0418155297892749,0.063684171589454,0.123667276185608,0.0768745141890854,0.544541890695083,0.0543340119180405
