"","cons_1","cons_2","cons_3","cons_4","cons_5","cons_6","cons_7","cons_8"
"avoided_emissions",5049.1982739846,254.296544067222,5708.94124033294,4438.27362052368,7996.05750607757,5623.03739043047,29810.0007739959,1520.03506880683
"investment",7764.67889496771,338.165368026096,8629.90741002439,7579.41650210556,13270.9120378096,8877.23943019389,66000.084402941,2539.59595393171
"payback",2.00022222417611,1.74780818715136,1.98046536483629,2.23576607167949,2.18850397550475,2.07447063735471,2.85617391609543,2.17908942654664
"self_consumption",100,100,100,100,100,100,100,100
"self_sufficiency",7.35680304716929,9.05056023398091,7.71236091049034,6.8627832083787,7.60863936141231,8.05516371619462,5.2571452623268,7.0952609077281
"yearly_surplus",0,0,0,0,0,0,0,0
"yearly_profit",3881.90812056694,193.479679585007,4357.51493727221,3390.07582148876,6063.91954794089,4279.27938354135,23107.8660970223,1165.43906963762
